ticker,name,category,score,price,year_high,year_low,ma50,ma200,off_high_pct,above_low_pct,chg_5d,chg_1m,chg_3m,chg_6m,chg_1y,vol_ratio,as_of,sector,industry,exchange
GNK,Genco Shipping & Trading Limited Ordinar,A_VCP待突破,72.8,26.52,26.77,15.92,25.06,22.27,0.9,66.6,0.7,3.0,7.7,17.7,62.8,1.4,2026-08-21,Consumer Discretionary,Marine Transportation,nyse
DINO,HF Sinclair Corporation Common Stock,B_上升結構,72.8,97.32,97.32,43.24,81.58,63.37,0.0,125.1,3.9,9.2,39.0,68.2,118.0,0.92,2026-08-21,Energy,Natural Gas Distribution,nyse
KFY,Korn Ferry Common Stock,B_上升結構,72.8,85.06,85.06,60.53,77.25,68.74,0.0,40.5,1.0,9.3,33.3,38.7,16.2,0.53,2026-08-21,Consumer Discretionary,Diversified Commercial Services,nyse
PK,Park Hotels & Resorts Inc. Common Stock,B_上升結構,72.8,15.78,15.83,9.97,14.72,12.05,0.3,58.3,4.3,8.2,46.7,37.6,43.2,0.79,2026-08-21,Consumer Discretionary,Hotels/Resorts,nyse
RAPP,Rapport Therapeutics Inc. Common Stock,B_上升結構,72.8,48.24,49.07,14.04,42.06,33.58,1.7,243.6,1.7,16.6,30.1,66.0,230.6,0.67,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nasdaq
ZD,Ziff Davis Inc. Common Stock,B_上升結構,72.7,56.08,56.08,27.65,51.89,41.8,0.0,102.8,1.3,8.2,38.4,85.8,51.4,0.93,2026-08-21,Telecommunications,Telecommunications Equipment,nasdaq
ATI,ATI Inc. Common Stock,B_上升結構,72.6,207.01,231.78,72.56,200.49,152.14,10.7,185.3,-9.4,3.6,34.2,41.1,185.3,0.78,2026-08-21,Industrials,Steel/Iron Ore,nyse
HTO,H2O America Common Stock,A_VCP待突破,72.5,63.48,65.43,45.97,61.62,55.58,3.0,38.1,-0.6,-0.7,14.9,16.4,27.6,0.67,2026-08-21,Utilities,Water Supply,nasdaq
RUSHB,Rush Enterprises Inc. Class B,A_VCP待突破,72.5,79.16,81.04,48.15,76.21,65.37,2.3,64.4,-1.4,4.5,23.7,25.4,41.8,0.69,2026-08-21,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,nasdaq
AMRX,Amneal Pharmaceuticals Inc. Class A Comm,A_VCP待突破,72.3,17.91,19.1,7.96,17.51,14.07,6.2,125.0,-1.3,-0.3,50.1,17.9,93.4,0.9,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nasdaq
CF,CF Industries Holdings Inc. Common Stock,A_VCP待突破,72.2,129.6,136.0,76.09,116.02,105.1,4.7,70.3,9.6,2.3,3.5,38.2,53.5,1.02,2026-08-21,Industrials,Agricultural Chemicals,nyse
IMO,Imperial Oil Limited Common Stock,B_上升結構,72.2,138.05,138.05,83.36,123.2,114.12,0.0,65.6,3.6,7.2,2.5,17.6,65.1,0.82,2026-08-21,Energy,Integrated oil Companies,amex
JNJ,Johnson & Johnson Common Stock,A_VCP待突破,72.1,270.24,273.41,171.04,254.83,231.15,1.2,58.0,3.8,4.2,19.2,11.1,53.3,0.78,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nyse
GD,General Dynamics Corporation Common Stoc,B_上升結構,72.1,384.29,395.97,312.78,374.06,352.96,2.9,22.9,-2.9,0.7,14.9,12.2,22.5,0.6,2026-08-21,Industrials,Marine Transportation,nyse
WTTR,Select Water Solutions Inc. Class A comm,B_上升結構,72.1,19.72,22.26,8.21,19.53,15.14,11.4,140.2,-5.5,-5.4,4.0,48.7,140.2,0.65,2026-08-21,Energy,Oilfield Services/Equipment,nyse
BRKR,Bruker Corporation Common Stock,A_VCP待突破,72.0,59.56,64.34,30.78,58.47,47.18,7.4,93.5,3.2,-4.2,38.9,56.2,73.9,0.86,2026-08-21,Industrials,Biotechnology: Laboratory Analytical Instruments,nasdaq
INSW,International Seaways Inc. Common Stock,B_上升結構,72.0,99.52,99.71,41.64,88.98,71.35,0.2,139.0,2.5,8.9,17.7,54.5,133.2,0.96,2026-08-21,Consumer Discretionary,Marine Transportation,nyse
PGC,Peapack-Gladstone Financial Corporation ,C_基底修復中,69.9,45.58,48.33,24.76,46.21,36.96,5.7,84.1,-2.4,-0.2,9.2,32.1,70.0,0.72,2026-08-21,Finance,Commercial Banks,nasdaq
MU,Micron Technology Inc. Common Stock,C_基底修復中,69.2,966.78,1255,113.46,961.03,556.55,23.0,752.1,-0.5,-2.4,33.4,141.8,682.5,0.67,2026-08-21,Technology,Semiconductors,nasdaq
PEB,Pebblebrook Hotel Trust Common Shares of,C_基底修復中,68.8,18.48,19.75,9.39,18.68,14.2,6.4,96.8,1.3,-2.6,31.4,46.1,85.5,0.67,2026-08-21,Real Estate,Real Estate Investment Trusts,nyse
PKE,Park Aerospace Corp. Common Stock,C_基底修復中,68.2,33.88,38.23,17.77,35.1,28.46,11.4,90.7,-11.3,-1.2,0.6,42.1,90.7,0.66,2026-08-21,Industrials,Military/Government/Technical,nyse
CBIO,Crescent Biopharma Inc. Common Stock,C_基底修復中,68.0,17.15,24.8,9.33,16.71,15.04,30.8,83.8,0.1,0.7,-14.1,83.8,24.4,0.5,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nasdaq
FTNT,Fortinet Inc. Common Stock,C_基底修復中,68.0,153.51,168.29,74.57,156.05,105.93,8.8,105.9,-4.1,1.3,25.0,87.9,90.1,0.74,2026-08-21,Technology,Computer peripheral equipment,nasdaq
PBR,Petroleo Brasileiro S.A. Petrobras ADS,C_基底修復中,67.8,19.15,21.9,11.69,17.76,16.64,12.6,63.8,7.1,0.8,-3.9,27.5,58.0,1.07,2026-08-21,Energy,Oil & Gas Production,nyse
CM,Canadian Imperial Bank of Commerce Commo,C_基底修復中,65.7,116.49,123.74,72.51,117.11,102.44,5.9,60.7,-5.9,-0.0,4.7,20.7,57.8,0.78,2026-08-21,Finance,Commercial Banks,nyse
MS,Morgan Stanley Common Stock,C_基底修復中,65.7,214.2,228.55,141.36,216.83,188.38,6.3,51.5,-1.5,-0.5,11.3,24.9,47.9,0.7,2026-08-21,Finance,Investment Bankers/Brokers/Service,nyse
FCFS,FirstCash Holdings Inc. Common Stock,C_基底修復中,65.6,225.28,232.05,134.75,213.95,192.93,2.9,67.2,4.9,14.1,-0.6,22.5,62.7,0.67,2026-08-21,Consumer Discretionary,Other Specialty Stores,nasdaq
TD,Toronto Dominion Bank (The) Common Stock,C_基底修復中,65.5,117.15,124.8,73.08,120.38,102.37,6.1,60.3,-5.8,-1.7,8.8,22.5,58.5,0.68,2026-08-21,Finance,Commercial Banks,nyse
SNX,TD SYNNEX Corporation Common Stock,C_基底修復中,65.2,250.14,290.14,142.17,258.48,198.94,13.8,75.9,-3.3,0.9,8.6,56.5,69.6,0.76,2026-08-21,Technology,Retail: Computer Software & Peripheral Equipment,nyse
DD,DuPont de Nemours Inc. Common Stock,C_基底修復中,55.1,138.33,150.22,95.78,139.42,133.78,7.9,44.4,-5.4,0.7,-5.0,-7.9,37.9,0.77,2026-08-21,Industrials,Major Chemicals,nyse
